Quarter,EPS,Total Revenue,Net Income,Operating Income,Gross Profit,Operating Expenses,R&D Expenses,Total Assets,ROE
2023-03-31,0.85,23329000000.0,2513000000.0,2664000000.0,4511000000.0,1847000000.0,771000000.0,86833000000.0,2.8940610136699183
2022-12-31,1.19,24318000000.0,3687000000.0,3901000000.0,5777000000.0,1876000000.0,810000000.0,82338000000.0,4.477883844640385
2022-09-30,1.05,21454000000.0,3292000000.0,3688000000.0,5382000000.0,1694000000.0,733000000.0,74426000000.0,4.423185445946309
2022-06-30,0.76,16934000000.0,2259000000.0,2464000000.0,4234000000.0,1770000000.0,667000000.0,68513000000.0,3.2971844759388733
2022-03-31,1.07,18756000000.0,3318000000.0,3603000000.0,5460000000.0,1857000000.0,865000000.0,66038000000.0,5.02437990248039
2021-12-31,0.85,17719000000.0,2321000000.0,2613000000.0,4847000000.0,2234000000.0,740000000.0,62131000000.0,3.7356553089440054
2021-09-30,0.62,13757000000.0,1618000000.0,2004000000.0,3660000000.0,1656000000.0,611000000.0,57834000000.0,2.797662274786458
2021-06-30,0.48,11958000000.0,1142000000.0,1312000000.0,2884000000.0,1572000000.0,576000000.0,55146000000.0,2.0708664273020707
2021-03-31,0.31,10389000000.0,438000000.0,594000000.0,2215000000.0,1621000000.0,666000000.0,52972000000.0,0.8268519217699918
2020-12-31,0.27,10744000000.0,270000000.0,575000000.0,2066000000.0,1491000000.0,522000000.0,52148000000.0,0.5177571527191839
2020-09-30,0.25,8771000000.0,331000000.0,809000000.0,2063000000.0,1254000000.0,366000000.0,45691000000.0,0.7244315072990304
2020-06-30,0.15,6036000000.0,104000000.0,327000000.0,1267000000.0,940000000.0,279000000.0,38135000000.0,0.272715353349941
2020-03-31,0.08,5985000000.0,16000000.0,283000000.0,1234000000.0,951000000.0,324000000.0,37250000000.0,0.04295302013422819
2019-12-31,0.14,7384000000.0,105000000.0,359000000.0,1391000000.0,1032000000.0,345000000.0,34309000000.0,0.3060421463755866
2019-09-30,0.12,6303000000.0,143000000.0,261000000.0,1191000000.0,930000000.0,334000000.0,32795000000.0,0.4360420795853026
2019-06-30,-0.07,6350000000.0,-408000000.0,-167000000.0,921000000.0,1088000000.0,324000000.0,31872597000.0,-1.2800965042164592
2019-03-31,-0.12,4541000000.0,-702000000.0,-522000000.0,566000000.0,1088000000.0,340000000.0,28912524000.0,-2.428013548730647
2018-12-31,0.13,7226000000.0,140000000.0,414000000.0,1443000000.0,1029000000.0,356000000.0,29740000000.0,0.4707464694014795
2018-09-30,0.19,6824000000.0,311000000.0,416000000.0,1524000000.0,1108000000.0,351000000.0,29262713000.0,1.0627859419596537
2018-06-30,-0.16,4002000000.0,-718000000.0,-621392000.0,619000000.0,1240322000.0,386129000.0,27910000000.0,-2.5725546399140096
